,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres,Genre_NR,Genre
15912,tm187390,MOVIE,2013,88,"8,1",8949.0,"5,613","7,8","drama, history, documentation",genres.3,documentation
15913,tm155291,MOVIE,2014,133,"7,6",28370.0,"8,364","7,2","drama, crime, romance",genres.3,romance
15914,tm151927,MOVIE,2014,122,"6,9",10656.0,"3,899","7,1","drama, sport, action",genres.3,action
15915,tm160034,MOVIE,2014,133,6,12757.0,"7,415","6,4","drama, comedy, romance",genres.3,romance
15916,tm172027,MOVIE,2013,138,"7,8",21882.0,"5,001","7,3","drama, history, romance",genres.3,romance
15917,tm159094,MOVIE,2014,161,"6,5",1081.0,"2,361","6,4","drama, thriller, action",genres.3,action
15918,tm184511,MOVIE,2013,133,"6,2",2565.0,"3,296","5,6","drama, romance, thriller",genres.3,thriller
15919,tm157461,MOVIE,2014,134,"7,5",33714.0,"6,452","6,7","drama, comedy, romance",genres.3,romance
15920,tm144541,MOVIE,2014,95,"6,4",365.0,"2,419","6,2","drama, thriller, european",genres.3,european
15921,tm182580,MOVIE,2013,100,"7,3",1128.0,"2,143","6,5","drama, comedy, family",genres.3,family
15922,tm171891,MOVIE,2013,150,"1,7",8550.0,"0,6","3,3","drama, comedy, action",genres.3,action
15923,tm323262,MOVIE,2013,179,"7,3",47.0,"1,699",,"drama, action, romance",genres.3,romance
15924,tm146144,MOVIE,2014,121,"5,5",2310.0,"2,862","5,9","drama, comedy, thriller",genres.3,thriller
15925,ts42069,SHOW,2016,56,"8,7",190878.0,"72,323","8,2","drama, history, european",genres.3,european
15926,ts38199,SHOW,2015,44,"7,6",49557.0,"75,849","7,7","drama, scifi, fantasy",genres.3,fantasy
15927,ts36631,SHOW,2015,52,"8,8",404486.0,"83,072","7,9","drama, thriller, crime",genres.3,crime
15928,tm120609,MOVIE,2016,106,"6,3",132821.0,"10,97","5,9","drama, comedy, music",genres.3,music
15929,ts53099,SHOW,2016,59,"7,6",10371.0,"15,878","7,6","drama, crime, european",genres.3,european
15930,tm137002,MOVIE,2015,159,8,117333.0,"51,091","7,5","drama, action, fantasy",genres.3,fantasy
15931,ts41289,SHOW,2016,25,"8,1",5468.0,"4,912","7,4","drama, comedy, european",genres.3,european
15932,ts38511,SHOW,2016,32,"7,7",41362.0,"23,492","7,3","drama, comedy, romance",genres.3,romance
15933,tm199700,MOVIE,2015,119,"7,1",180805.0,"19,604","7,6","drama, romance, european",genres.3,european
