,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,countries,Country_NR,Country
4479,ts308845,SHOW,2021,67,8,7313.0,"12,167","8,3",DE,production_countries.1,DE
4480,ts282131,SHOW,2021,51,"8,2",3090.0,"3,813","7,6",GB,production_countries.1,GB
4481,tm1185388,MOVIE,2021,98,7,9.0,"14,898","6,6",IT,production_countries.1,IT
4482,ts220553,SHOW,2021,53,"5,9",14714.0,"14,099","7,6",GB,production_countries.1,GB
4483,ts328194,SHOW,2021,50,"7,8",18446.0,"90,655","8,4",KR,production_countries.1,KR
4484,tm1046627,MOVIE,2021,88,"5,3",14887.0,"99,758","6,1",CA,production_countries.1,CA
4485,tm1046264,MOVIE,2021,118,"6,4",21511.0,"22,456","5,9",ES,production_countries.1,ES
4486,ts283080,SHOW,2021,41,"6,4",12148.0,"96,969","7,7",MX,production_countries.1,MX
4487,ts287438,SHOW,2021,58,"7,8",29019.0,"17,533","7,8",ES,production_countries.1,ES
4488,tm992844,MOVIE,2021,112,"7,1",71915.0,"21,463","6,9",GB,production_countries.1,GB
4489,ts108042,SHOW,2021,131,"8,1",3597.0,"55,962","7,7",MX,production_countries.1,MX
4490,ts281062,SHOW,2021,31,"6,3",2973.0,"1,4","7,5",NO,production_countries.1,NO
4491,tm1000147,MOVIE,2021,98,"4,9",3878.0,"271,247","5,5",GB,production_countries.1,GB
4492,ts271867,SHOW,2021,81,"8,4",15134.0,"45,98","8,8",KR,production_countries.1,KR
4493,ts272980,SHOW,2021,42,"6,6",12367.0,"17,293","6,9",GB,production_countries.1,GB
4494,tm974195,MOVIE,2021,132,"6,8",1282.0,"5,25","6,7",JP,production_countries.1,JP
4495,tm1005109,MOVIE,2021,92,"7,2",4890.0,"30,991","7,5",KR,production_countries.1,KR
4496,tm977704,MOVIE,2021,30,"7,2",1533.0,"58,719","7,1",GB,production_countries.1,GB
4497,tm993838,MOVIE,2021,90,"6,5",4664.0,"49,592",7,AU,production_countries.1,AU
4498,ts290643,SHOW,2021,30,"7,1",1984.0,"4,011","7,1",JP,production_countries.1,JP
4499,tm999927,MOVIE,2021,107,7,1626.0,"21,305","7,3",MX,production_countries.1,MX
4500,ts297483,SHOW,2021,78,"8,5",9987.0,"34,738","8,2",KR,production_countries.1,KR
4501,tm458292,MOVIE,2021,136,"6,5",24659.0,"69,534","7,1",KR,production_countries.1,KR
4502,ts297846,SHOW,2021,34,"7,1",2827.0,"40,403","7,4",IT,production_countries.1,IT
