id;type;release_year;runtime;imdb_score;imdb_votes;tmdb_popularity;tmdb_score;countries;production_countries.1;production_countries.2;production_countries.3;production_countries.4;production_countries.5;production_countries.6;production_countries.7
ts85732;SHOW;2018;43;7,6;3989;4,386;6,8;US;US;;;;;;
ts57148;SHOW;2018;21;6,1;3736;8,869;5,5;US;US;;;;;;
ts85202;SHOW;2018;25;8,1;415;3,041;8,3;US;US;;;;;;
ts82398;SHOW;2018;25;7,4;478;5,383;6,8;US;US;;;;;;
ts82867;SHOW;2018;45;6,7;389;0,992;6;US;US;;;;;;
ts83554;SHOW;2018;48;5,4;986;1,185;6,7;US;US;;;;;;
ts80030;SHOW;2018;45;7,1;1324;12,572;7,2;US;US;;;;;;
ts84977;SHOW;2018;51;5,1;688;2,754;7,2;US;US;;;;;;
ts83247;SHOW;2018;32;7,4;1095;2,789;7;US;US;;;;;;
ts86279;SHOW;2018;36;7,7;1086;8,263;8;US;US;;;;;;
ts78145;SHOW;2018;45;6,8;1305;11,678;7,7;US;US;;;;;;
ts83407;SHOW;2018;18;4,9;710;1,855;6;US;US;;;;;;
ts85953;SHOW;2018;13;7,5;26;0,893;5;US;US;;;;;;
ts85126;SHOW;2018;28;6,2;666;2,72;4,4;US;US;;;;;;
ts85217;SHOW;2018;17;7,9;292;3,073;9;US;US;;;;;;
ts78692;SHOW;2018;60;5,4;11;2,141;6,8;US;US;;;;;;
ts95011;SHOW;2018;25;7,5;112;4,55;7;US;US;;;;;;
ts90869;SHOW;2018;18;6,2;153;5,714;7,9;US;US;;;;;;
ts83070;SHOW;2018;47;6,6;517;11,615;6,2;US;US;;;;;;
ts85618;SHOW;2018;26;5,7;471;14,711;7;US;US;;;;;;
ts81485;SHOW;2018;23;6;116;2,161;8;US;US;;;;;;
ts84484;SHOW;2018;41;6,9;1590;6,673;6,5;US;US;;;;;;
ts78707;SHOW;2018;29;7,1;2378;5,655;6,4;US;US;;;;;;
ts84200;SHOW;2018;25;6,4;297;5,331;8;US;US;;;;;;
ts82843;SHOW;2018;27;7,7;2391;2,45;7,3;US;US;;;;;;
ts84644;SHOW;2018;47;6;168;0,957;4;US;US;;;;;;
ts84179;SHOW;2018;50;3,9;760;4,893;7,5;US;US;;;;;;
ts86067;SHOW;2018;33;6,1;629;2,757;6,9;US;US;;;;;;
ts81886;SHOW;2018;23;4,8;708;1,987;4,6;US;US;;;;;;
ts83710;SHOW;2018;44;6,7;421;8,639;7,7;US;US;;;;;;
ts84038;SHOW;2018;45;7;426;2,537;8,8;US;US;;;;;;
ts74805;SHOW;2018;34;6,3;233;3,593;6,2;US;US;;;;;;
ts85250;SHOW;2018;19;7,7;91;5,562;9;US;US;;;;;;
ts82160;SHOW;2018;24;6,8;249;4,753;8,5;US;US;;;;;;
ts80751;SHOW;2018;30;5,1;1862;1,846;4,8;US;US;;;;;;
ts80671;SHOW;2018;22;7,5;148;1,663;8,3;US;US;;;;;;
ts78444;SHOW;2018;24;4,8;48;0,858;6;US;US;;;;;;
tm310953;MOVIE;2018;111;6,9;75653;14,691;6,8;US;US;;;;;;
tm318206;MOVIE;2018;140;7;107701;55,531;6,7;US;US;;;;;;
tm425889;MOVIE;2018;132;7,3;141528;35,22;7,1;US;US;;;;;;
tm371380;MOVIE;2018;94;5,5;17226;32,016;6;US;US;;;;;;
tm239286;MOVIE;2018;102;5,5;102759;26,982;5,6;US;US;;;;;;
tm414285;MOVIE;2018;91;6,8;18165;10,083;6,4;US;US;;;;;;
tm374132;MOVIE;2018;124;6,6;325194;38,353;6,9;US;US;;;;;;
tm244332;MOVIE;2018;109;6,4;21843;12,841;6,3;US;US;;;;;;
tm414887;MOVIE;2018;84;6;28933;11,066;5,7;US;US;;;;;;
tm420348;MOVIE;2018;95;5,9;31042;16,174;5,8;US;US;;;;;;
tm366567;MOVIE;2018;97;6,4;48215;17,067;6,6;US;US;;;;;;
tm310706;MOVIE;2018;96;5,8;51781;32,877;6;US;US;;;;;;
tm410435;MOVIE;2018;100;7,1;101175;66,882;7,7;US;US;;;;;;
tm368449;MOVIE;2018;123;7,2;19023;7,649;6,9;US;US;;;;;;
tm363248;MOVIE;2018;101;6,7;15750;12,272;6,5;US;US;;;;;;
tm299677;MOVIE;2018;125;5,6;36500;13,295;5,3;US;US;;;;;;
tm363488;MOVIE;2018;98;7,6;14037;8,04;7,6;US;US;;;;;;
tm435916;MOVIE;2018;90;6,1;41508;13,548;6,5;US;US;;;;;;
tm362098;MOVIE;2018;96;6,7;15683;9,481;6,6;US;US;;;;;;
tm412550;MOVIE;2018;105;6,5;49880;14,994;7;US;US;;;;;;
tm139545;MOVIE;2018;120;6,2;25223;12,155;6,2;US;US;;;;;;
tm434008;MOVIE;2018;88;6,2;3190;8,441;6,8;US;US;;;;;;
tm417496;MOVIE;2018;110;6,5;33206;11,126;6,8;US;US;;;;;;
tm426274;MOVIE;2018;89;5,7;4348;11,314;6,2;US;US;;;;;;
tm316414;MOVIE;2018;89;5,5;16610;19,161;5,6;US;US;;;;;;
tm311921;MOVIE;2018;91;6,6;11167;8,056;6,4;US;US;;;;;;
tm323634;MOVIE;2018;98;5,3;11785;38,144;6,3;US;US;;;;;;
tm321224;MOVIE;2018;100;5,4;29773;14;5,5;US;US;;;;;;
tm436470;MOVIE;2018;85;5;4277;12,13;6,3;US;US;;;;;;
tm370232;MOVIE;2018;94;6,9;4181;7,888;6,5;US;US;;;;;;
tm439484;MOVIE;2018;97;5,2;7387;38,136;5,2;US;US;;;;;;
tm271960;MOVIE;2018;91;6,6;29565;39,39;7,8;US;US;;;;;;
tm352588;MOVIE;2018;97;5,8;30611;12,489;6,2;US;US;;;;;;
tm411415;MOVIE;2018;94;7,9;1285;4,268;7,7;US;US;;;;;;
tm406881;MOVIE;2018;87;7,6;1065;4,324;8;US;US;;;;;;
tm368241;MOVIE;2018;94;5,3;3909;16,727;5,5;US;US;;;;;;
tm321596;MOVIE;2018;90;6,1;3172;4,554;5,6;US;US;;;;;;
tm411507;MOVIE;2018;65;7,9;7696;7,358;8;US;US;;;;;;
tm431347;MOVIE;2018;99;7,5;1281;7,687;7,5;US;US;;;;;;
tm324870;MOVIE;2018;90;5,2;6873;10,632;5,5;US;US;;;;;;
tm411958;MOVIE;2018;94;5,2;17194;11,273;5,8;US;US;;;;;;
tm425732;MOVIE;2018;98;6,2;7566;9,06;5,4;US;US;;;;;;
tm416105;MOVIE;2018;74;7,1;2556;4,985;6,6;US;US;;;;;;
tm420334;MOVIE;2018;103;6,1;21202;9,294;6,3;US;US;;;;;;
tm357820;MOVIE;2018;94;3,2;33769;10,26;3,7;US;US;;;;;;
tm419733;MOVIE;2018;105;4,4;2289;20,215;4,9;US;US;;;;;;
tm436844;MOVIE;2018;104;7;71182;24,184;7,1;US;US;;;;;;
tm347821;MOVIE;2018;109;6,7;4611;5,153;6,2;US;US;;;;;;
tm369179;MOVIE;2018;96;6,4;9442;18,453;7;US;US;;;;;;
tm445735;MOVIE;2018;153;8,5;2178;5,263;8;US;US;;;;;;
tm427465;MOVIE;2018;124;7,6;4488;7,629;7,4;US;US;;;;;;
tm437608;MOVIE;2018;73;7,5;5096;10,176;7,3;US;US;;;;;;
tm370392;MOVIE;2018;116;5,2;21481;15,364;5,4;US;US;;;;;;
tm404475;MOVIE;2018;100;7,6;2671;11,687;6,7;US;US;;;;;;
tm448122;MOVIE;2018;125;8,3;5293;11,864;8,2;US;US;;;;;;
tm440415;MOVIE;2018;89;7,4;738;5,255;7,4;US;US;;;;;;
tm233485;MOVIE;2018;90;5,6;3467;13,039;6,5;US;US;;;;;;
tm238377;MOVIE;2018;83;5,5;3909;7,024;5;US;US;;;;;;
tm366820;MOVIE;2018;106;6;2287;8,424;5,8;US;US;;;;;;
tm370628;MOVIE;2018;65;5,8;1276;4,789;6,2;US;US;;;;;;
tm443186;MOVIE;2018;75;6,2;3333;5,547;6,7;US;US;;;;;;
tm376801;MOVIE;2018;104;6,3;2512;5,704;6,2;US;US;;;;;;
tm409618;MOVIE;2018;99;6,3;17305;13,149;6,6;US;US;;;;;;
tm372891;MOVIE;2018;64;6,6;6816;7,142;6,5;US;US;;;;;;
tm366973;MOVIE;2018;74;7,5;3695;2,908;7;US;US;;;;;;
tm420797;MOVIE;2018;105;5,8;38319;10,057;6,4;US;US;;;;;;
tm420989;MOVIE;2018;94;5,2;11281;11,325;5,4;US;US;;;;;;
tm437631;MOVIE;2018;49;7,1;1786;7,887;7,4;US;US;;;;;;
tm404690;MOVIE;2018;78;5,7;4219;13,649;5,8;US;US;;;;;;
tm429377;MOVIE;2018;57;7,3;2307;3,406;7,3;US;US;;;;;;
