id;type;release_year;runtime;genres;genres.1;genres.2;genres.3;genres.4;genres.5;genres.6;genres.7;genres.8;genres.9;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm1000166;MOVIE;2020;57;music;music;;;;;;;;;;;0,908;
ts222838;SHOW;2019;0;reality;reality;;;;;;;;;;;3,873;7,2
tm856372;MOVIE;2020;130;thriller;thriller;;;;;;;;;;;2,719;8,1
ts89531;SHOW;2019;39;;;;;;;;;;;;;1,613;8
tm470687;MOVIE;2019;91;;;;;;;;;;;;;0,759;4,8
ts304136;SHOW;2020;24;;;;;;;;;;;;;0,6;
tm940835;MOVIE;2019;62;animation;animation;;;;;;;;;;;1,219;
ts224956;SHOW;2020;47;reality;reality;;;;;;;;;;;1,617;7
ts328625;SHOW;2022;29;scifi;scifi;;;;;;;;;;;359,74;6,5
tm1196288;MOVIE;2022;97;crime;crime;;;;;;;;;;;48,759;6,1
ts327074;SHOW;2022;0;reality;reality;;;;;;;;;;;5,984;7
tm1191860;MOVIE;2022;48;;;;;;;;;;;;;5,85;5
tm1044275;MOVIE;2021;95;horror;horror;;;;;;;;;;;56,744;5,9
tm1173806;MOVIE;2022;118;thriller;thriller;;;;;;;;;;;1,723;8
ts321614;SHOW;2021;7;animation;animation;;;;;;;;;;;4,343;7
ts329854;SHOW;2022;97;reality;reality;;;;;;;;;;;10,408;
tm922706;MOVIE;2021;114;horror;horror;;;;;;;;;;;65,826;7,3
tm1020326;MOVIE;2021;114;thriller;thriller;;;;;;;;;;;23,683;5
ts288489;SHOW;2021;81;action;action;;;;;;;;;;;19,654;9,6
tm1074621;MOVIE;2021;38;;;;;;;;;;;;;;
ts326955;SHOW;2022;47;crime;crime;;;;;;;;;;;11,962;7
tm1142517;MOVIE;2021;59;;;;;;;;;;;;;6,254;5,5
ts254928;SHOW;2021;62;action;action;;;;;;;;;;;10,205;8,3
tm1031448;MOVIE;2021;60;animation;animation;;;;;;;;;;;69,129;7,2
tm950360;MOVIE;2021;113;fantasy;fantasy;;;;;;;;;;;12,009;6,8
tm1159300;MOVIE;2022;18;romance;romance;;;;;;;;;;;122,528;5,3
tm1075596;MOVIE;2021;58;fantasy;fantasy;;;;;;;;;;;22,317;5,7
tm1204412;MOVIE;2022;99;romance;romance;;;;;;;;;;;138,881;2
tm1143319;MOVIE;2021;15;;;;;;;;;;;;;11,009;6,7
tm1111717;MOVIE;2021;47;animation;animation;;;;;;;;;;;143,79;6,9
ts346656;SHOW;2022;32;;;;;;;;;;;;;2,468;
ts311887;SHOW;2021;68;reality;reality;;;;;;;;;;;3,56;7
